,48,56,69,71,89,113,115,117,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,197
48,0,0,0,0,0,0,0,0,0,0,0,0.0008,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0.21,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0.15,0.46,0.21,0.09,0.07,0.14,0,0.11,0.12,0.11,0.08,0.11,0.16,0.1,0.1,0.1,0.07,0.06,0.09,0.12,0.16,0.11,0.08,0.06,0.15,0.06,0.04,0.06,0.11,0.05,0.12,0.08,0.03,0.04,0.03,0.02,0.1,0.1,0.03,0.05,0.05,0.04,0.08,0
141,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.016,0.004,0,0,0,0.2,0,0,0,0,0,0,0.029,0,0.2,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0.005,0.0032,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0.0613,0.069,0,0,0,0,0,0,0.024,0,0.15,0,0,0,0,0,0,0,0,0
